"Coins"	"AdditionalReward"	"Variety"	"StartTime"	"HasEnded"	"HasWinner"	"EndTime"	"NextRaffleVariety"	"WinnerName"	"WasSniped"	"Fact"	"NumberOfPlayers"	"NumberOfPlayersJoined"	"NumberOfPlayersFailed"	"Duration"	"WinChancePerJoinedPlayer"
"6"	"SuperChargeArmyCampPower"	"Waffle"	"2021-04-13T23:57:35"	"True"	"True"	"2021-04-13T23:58:35"	"Raffle"	"Kcebnroh"	"False"	""	"11"	"10"	"1"	"00:01:00"	"0,1"
"57"	"None"	"Raffle"	"2021-04-14T00:08:35"	"True"	"True"	"2021-04-14T00:09:36"	"Raffle"	"Xxylox"	"False"	""	"7"	"7"	"0"	"00:01:01"	"0,14285714285714285"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-14T01:22:36"	"True"	"True"	"2021-04-14T01:23:36"	"Raffle"	"Johnny Sil"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"6"	"TimeWarpPower"	"Raffle"	"2021-04-14T03:12:36"	"True"	"True"	"2021-04-14T03:13:36"	"Raffle"	"Athena's C"	"False"	""	"5"	"4"	"1"	"00:01:00"	"0,25"
"7"	"None"	"Raffle"	"2021-04-14T04:34:36"	"True"	"True"	"2021-04-14T04:35:37"	"Raffle"	"ZombieSlay"	"False"	""	"11"	"9"	"2"	"00:01:01"	"0,1111111111111111"
"5"	"FreeCachePower"	"Raffle"	"2021-04-14T06:12:37"	"True"	"True"	"2021-04-14T06:13:37"	"Raffle"	"Zahra"	"False"	""	"7"	"5"	"2"	"00:01:00"	"0,2"
"7"	"MarketRaidPower"	"Raffle"	"2021-04-14T07:48:37"	"True"	"True"	"2021-04-14T07:49:38"	"Raffle"	"Leia - Pri"	"False"	""	"5"	"5"	"0"	"00:01:01"	"0,2"
"6"	"None"	"Raffle"	"2021-04-14T08:00:38"	"True"	"True"	"2021-04-14T08:01:38"	"Raffle"	"Z"	"False"	""	"8"	"7"	"1"	"00:01:00"	"0,14285714285714285"
"5"	"FreeCachePower"	"Raffle"	"2021-04-14T08:38:38"	"True"	"True"	"2021-04-14T08:39:38"	"Raffle"	"#BanPlajer"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"6"	"None"	"Raffle"	"2021-04-14T10:04:39"	"True"	"True"	"2021-04-14T10:05:39"	"Raffle"	"JK_3"	"False"	""	"9"	"8"	"1"	"00:01:00"	"0,125"
"7"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-14T10:24:39"	"True"	"True"	"2021-04-14T10:25:39"	"Raffle"	"Legolas"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-14T11:42:39"	"True"	"True"	"2021-04-14T11:43:40"	"Raffle"	"Hodop"	"False"	""	"10"	"9"	"1"	"00:01:01"	"0,1111111111111111"
"5"	"FreeCachePower"	"Raffle"	"2021-04-14T11:58:40"	"True"	"True"	"2021-04-14T11:59:40"	"Raffle"	"Lefty"	"False"	""	"9"	"9"	"0"	"00:01:00"	"0,1111111111111111"
"8"	"FogBusterPower"	"Raffle"	"2021-04-14T13:28:40"	"True"	"True"	"2021-04-14T13:29:40"	"Raffle"	"U.N.I.C.O."	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"7"	"FreeCachePower"	"Raffle"	"2021-04-14T14:45:40"	"True"	"True"	"2021-04-14T14:46:41"	"Raffle"	"Legolas"	"False"	""	"17"	"15"	"2"	"00:01:01"	"0,06666666666666667"
"7"	"None"	"Raffle"	"2021-04-14T16:12:41"	"True"	"True"	"2021-04-14T16:13:41"	"Raffle"	"U.N.I.C.O."	"False"	""	"14"	"12"	"2"	"00:01:00"	"0,08333333333333333"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-14T17:20:41"	"True"	"True"	"2021-04-14T17:21:41"	"Raffle"	"Nikon"	"False"	""	"17"	"16"	"1"	"00:01:00"	"0,0625"
"4"	"InspireMercenariesPower"	"Waffle"	"2021-04-14T18:14:42"	"True"	"True"	"2021-04-14T18:15:42"	"Raffle"	"Johnny Sil"	"False"	""	"13"	"12"	"1"	"00:01:00"	"0,08333333333333333"
"5"	"InspireMercenariesPower"	"Raffle"	"2021-04-14T19:57:42"	"True"	"True"	"2021-04-14T19:58:43"	"Raffle"	"TrapdoorSp"	"False"	""	"13"	"11"	"2"	"00:01:01"	"0,09090909090909091"
"61"	"FreeCachePower"	"Raffle"	"2021-04-14T20:11:43"	"True"	"True"	"2021-04-14T20:12:43"	"Raffle"	"Ursus"	"False"	""	"19"	"17"	"2"	"00:01:00"	"0,058823529411764705"
"5"	"None"	"Raffle"	"2021-04-14T20:36:43"	"True"	"True"	"2021-04-14T20:37:43"	"Raffle"	"Ursus"	"False"	""	"11"	"9"	"2"	"00:01:00"	"0,1111111111111111"
"6"	"PoorArtifact"	"Waffle"	"2021-04-14T21:31:43"	"True"	"True"	"2021-04-14T21:32:44"	"Raffle"	"AverageRis"	"False"	""	"11"	"9"	"2"	"00:01:01"	"0,1111111111111111"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-14T22:30:44"	"True"	"True"	"2021-04-14T22:31:44"	"Raffle"	"stonemende"	"False"	""	"16"	"15"	"1"	"00:01:00"	"0,06666666666666667"
"4"	"SuperchargeMinePower"	"Raffle"	"2021-04-14T23:45:44"	"True"	"True"	"2021-04-14T23:46:44"	"Raffle"	"Putt4eagle"	"False"	""	"13"	"11"	"2"	"00:01:00"	"0,09090909090909091"
"8"	"PoorArtifact"	"Raffle"	"2021-04-15T01:25:45"	"True"	"True"	"2021-04-15T01:26:45"	"Raffle"	"krinid"	"False"	""	"10"	"8"	"2"	"00:01:00"	"0,125"
"4"	"MarketRaidPower"	"Raffle"	"2021-04-15T02:15:45"	"True"	"True"	"2021-04-15T02:16:45"	"Raffle"	"#BanPlajer"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"6"	"TimeWarpPower"	"Raffle"	"2021-04-15T03:51:45"	"True"	"True"	"2021-04-15T03:52:46"	"Raffle"	"ZombieSlay"	"False"	""	"5"	"5"	"0"	"00:01:01"	"0,2"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-15T05:31:46"	"True"	"True"	"2021-04-15T05:32:46"	"Raffle"	"Thorben"	"False"	""	"5"	"4"	"1"	"00:01:00"	"0,25"
"7"	"PoorArtifact"	"Raffle"	"2021-04-15T06:01:46"	"True"	"True"	"2021-04-15T06:02:47"	"Ruthless"	"#BanPlajer"	"False"	""	"6"	"6"	"0"	"00:01:01"	"0,16666666666666666"
"4"	"None"	"Raffle"	"2021-04-15T06:30:47"	"True"	"True"	"2021-04-15T06:31:47"	"Raffle"	"Legolas"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"4"	"FreeCachePower"	"Raffle"	"2021-04-15T08:21:47"	"True"	"True"	"2021-04-15T08:22:48"	"Raffle"	"Legolas"	"False"	""	"9"	"9"	"0"	"00:01:01"	"0,1111111111111111"
"4"	"TimeWarpPower"	"Raffle"	"2021-04-15T08:38:48"	"True"	"True"	"2021-04-15T08:39:48"	"Raffle"	"Eternal Ob"	"False"	""	"9"	"8"	"1"	"00:01:00"	"0,125"
"3"	"TimeWarpPower"	"Raffle"	"2021-04-15T09:15:48"	"True"	"True"	"2021-04-15T09:16:48"	"Raffle"	"Captain Ab"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"5"	"InspireMercenariesPower"	"Raffle"	"2021-04-15T10:04:48"	"True"	"True"	"2021-04-15T10:05:49"	"Raffle"	"Mythos1618"	"False"	""	"7"	"6"	"1"	"00:01:01"	"0,16666666666666666"
"6"	"None"	"Raffle"	"2021-04-15T11:30:49"	"True"	"True"	"2021-04-15T11:31:49"	"Raffle"	"faxfox"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"5"	"TimeWarpPower"	"Raffle"	"2021-04-15T12:23:49"	"True"	"True"	"2021-04-15T12:24:50"	"Raffle"	"faxfox"	"False"	""	"15"	"14"	"1"	"00:01:01"	"0,07142857142857142"
"4"	"SuperchargeMinePower"	"Raffle"	"2021-04-15T12:53:50"	"True"	"True"	"2021-04-15T12:54:50"	"Waffle"	"Mythos1618"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"5"	"FreeCachePower"	"Raffle"	"2021-04-15T14:22:50"	"True"	"True"	"2021-04-15T14:23:50"	"Raffle"	"Ursus"	"False"	""	"16"	"15"	"1"	"00:01:00"	"0,06666666666666667"
"6"	"MarketRaidPower"	"Raffle"	"2021-04-15T15:50:51"	"True"	"True"	"2021-04-15T15:51:51"	"Raffle"	"#BanPlajer"	"False"	""	"15"	"12"	"3"	"00:01:00"	"0,08333333333333333"
"5"	"FogBusterPower"	"Raffle"	"2021-04-15T16:36:51"	"True"	"True"	"2021-04-15T16:37:51"	"Raffle"	"Kratt"	"False"	""	"12"	"11"	"1"	"00:01:00"	"0,09090909090909091"
"4"	"FreeCachePower"	"Raffle"	"2021-04-15T17:39:51"	"True"	"True"	"2021-04-15T17:40:52"	"Raffle"	"C4nt3r"	"False"	""	"13"	"13"	"0"	"00:01:01"	"0,07692307692307693"
"3"	"SuperchargeMinePower"	"Raffle"	"2021-04-15T19:38:52"	"True"	"True"	"2021-04-15T19:39:53"	"Raffle"	"#BanPlajer"	"False"	""	"11"	"8"	"3"	"00:01:01"	"0,125"
"7"	"FogBusterPower"	"Raffle"	"2021-04-15T20:25:53"	"True"	"True"	"2021-04-15T20:26:54"	"Raffle"	"TrapdoorSp"	"False"	""	"12"	"11"	"1"	"00:01:01"	"0,09090909090909091"
"5"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-15T21:42:54"	"True"	"True"	"2021-04-15T21:43:54"	"Raffle"	"#BanPlajer"	"False"	""	"12"	"11"	"1"	"00:01:00"	"0,09090909090909091"
"3"	"TimeWarpPower"	"Raffle"	"2021-04-15T23:40:54"	"True"	"True"	"2021-04-15T23:41:54"	"Waffle"	"krinid"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"5"	"TimeWarpPower"	"Raffle"	"2021-04-16T01:38:54"	"True"	"True"	"2021-04-16T01:39:55"	"Raffle"	"Z"	"False"	""	"9"	"8"	"1"	"00:01:01"	"0,125"
"6"	"FogBusterPower"	"Raffle"	"2021-04-16T03:34:55"	"True"	"True"	"2021-04-16T03:35:55"	"Raffle"	"Nikon"	"False"	""	"5"	"5"	"0"	"00:01:00"	"0,2"
"3"	"MarketRaidPower"	"Raffle"	"2021-04-16T05:05:55"	"True"	"True"	"2021-04-16T05:06:55"	"Raffle"	"faxfox"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"7"	"None"	"Raffle"	"2021-04-16T05:38:56"	"True"	"True"	"2021-04-16T05:39:56"	"Raffle"	"Splat"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"6"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T05:59:56"	"True"	"True"	"2021-04-16T06:00:56"	"Raffle"	"GODZILLARE"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T07:26:56"	"True"	"True"	"2021-04-16T07:27:57"	"Raffle"	"Ursus"	"False"	""	"9"	"6"	"3"	"00:01:01"	"0,16666666666666666"
"7"	"TimeWarpPower"	"Raffle"	"2021-04-16T07:56:57"	"True"	"True"	"2021-04-16T07:57:57"	"Raffle"	"Roman Empi"	"False"	""	"5"	"5"	"0"	"00:01:00"	"0,2"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T09:10:57"	"True"	"True"	"2021-04-16T09:11:58"	"Raffle"	"Captain Ab"	"False"	""	"3"	"3"	"0"	"00:01:01"	"0,3333333333333333"
"6"	"None"	"Raffle"	"2021-04-16T09:33:58"	"True"	"True"	"2021-04-16T09:34:58"	"Raffle"	"C4nt3r"	"False"	""	"4"	"3"	"1"	"00:01:00"	"0,3333333333333333"
"6"	"TimeWarpPower"	"Raffle"	"2021-04-16T09:56:58"	"True"	"True"	"2021-04-16T09:57:58"	"Raffle"	"Ursus"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T10:15:58"	"True"	"True"	"2021-04-16T10:16:59"	"Wafaffle"	"Captain Ab"	"False"	""	"2"	"2"	"0"	"00:01:01"	"0,5"
"4"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T10:54:59"	"True"	"True"	"2021-04-16T10:55:59"	"Raffle"	"Legolas"	"False"	""	"5"	"4"	"1"	"00:01:00"	"0,25"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T12:06:59"	"True"	"True"	"2021-04-16T12:07:59"	"Raffle"	"ZombieSlay"	"False"	""	"6"	"4"	"2"	"00:01:00"	"0,25"
"4"	"FreeCachePower"	"Raffle"	"2021-04-16T13:59:59"	"True"	"True"	"2021-04-16T14:01:00"	"Raffle"	"[GW] Rob"	"False"	""	"8"	"6"	"2"	"00:01:01"	"0,16666666666666666"
"4"	"FreeCachePower"	"Raffle"	"2021-04-16T14:32:00"	"True"	"True"	"2021-04-16T14:33:00"	"Raffle"	"Legolas"	"False"	""	"7"	"7"	"0"	"00:01:00"	"0,14285714285714285"
"4"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T15:27:00"	"True"	"True"	"2021-04-16T15:28:00"	"Raffle"	"stonemende"	"False"	""	"11"	"10"	"1"	"00:01:00"	"0,1"
"7"	"FreeCachePower"	"Raffle"	"2021-04-16T15:39:00"	"True"	"True"	"2021-04-16T15:40:01"	"Raffle"	"Rediah, Me"	"False"	""	"11"	"9"	"2"	"00:01:01"	"0,1111111111111111"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T17:39:01"	"True"	"True"	"2021-04-16T17:40:01"	"Raffle"	"Captain Ab"	"False"	""	"7"	"6"	"1"	"00:01:00"	"0,16666666666666666"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-16T18:17:01"	"True"	"True"	"2021-04-16T18:18:02"	"Raffle"	"Z"	"False"	""	"9"	"8"	"1"	"00:01:01"	"0,125"
"4"	"PoorArtifact"	"Raffle"	"2021-04-16T19:34:02"	"True"	"True"	"2021-04-16T19:35:02"	"Raffle"	"Splat"	"False"	""	"12"	"10"	"2"	"00:01:00"	"0,1"
"3"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-16T19:53:02"	"True"	"True"	"2021-04-16T19:54:03"	"Wafaffle"	"C4nt3r"	"False"	""	"9"	"9"	"0"	"00:01:01"	"0,1111111111111111"
"4"	"FogBusterPower"	"Raffle"	"2021-04-16T20:09:03"	"True"	"True"	"2021-04-16T20:10:03"	"Raffle"	"Splat"	"False"	""	"9"	"9"	"0"	"00:01:00"	"0,1111111111111111"
"5"	"FreeCachePower"	"Raffle"	"2021-04-16T21:55:03"	"True"	"True"	"2021-04-16T21:56:04"	"Raffle"	"Hodop"	"False"	""	"13"	"11"	"2"	"00:01:01"	"0,09090909090909091"
"5"	"InspireMercenariesPower"	"Raffle"	"2021-04-16T22:43:04"	"True"	"True"	"2021-04-16T22:44:04"	"Raffle"	"JK_3"	"False"	""	"6"	"6"	"0"	"00:01:00"	"0,16666666666666666"
"3"	"FogBusterPower"	"Raffle"	"2021-04-16T23:18:04"	"True"	"True"	"2021-04-16T23:19:04"	"Raffle"	"Mythos1618"	"False"	""	"5"	"5"	"0"	"00:01:00"	"0,2"
"5"	"MarketRaidPower"	"Raffle"	"2021-04-17T00:13:04"	"True"	"True"	"2021-04-17T00:14:05"	"Raffle"	"DanWL"	"False"	""	"10"	"9"	"1"	"00:01:01"	"0,1111111111111111"
"8"	"FreeCachePower"	"Raffle"	"2021-04-17T02:05:05"	"True"	"True"	"2021-04-17T02:06:05"	"Raffle"	"Xxylox"	"False"	""	"6"	"5"	"1"	"00:01:00"	"0,2"
"4"	"MarketRaidPower"	"Raffle"	"2021-04-17T04:04:05"	"True"	"True"	"2021-04-17T04:05:06"	"Raffle"	"Splat"	"False"	""	"5"	"4"	"1"	"00:01:01"	"0,25"
"5"	"FreeCachePower"	"Raffle"	"2021-04-17T05:54:06"	"True"	"True"	"2021-04-17T05:55:06"	"Raffle"	"Ursus"	"False"	""	"2"	"2"	"0"	"00:01:00"	"0,5"
"4"	"FreeCachePower"	"Raffle"	"2021-04-17T07:39:06"	"True"	"True"	"2021-04-17T07:40:06"	"Raffle"	"Kcebnroh"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"7"	"None"	"Raffle"	"2021-04-17T08:25:07"	"True"	"True"	"2021-04-17T08:26:07"	"Raffle"	"Kebab Kåre"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"5"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-17T08:42:07"	"True"	"True"	"2021-04-17T08:43:07"	"Raffle"	"C4nt3r"	"False"	""	"4"	"3"	"1"	"00:01:00"	"0,3333333333333333"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-17T10:09:07"	"True"	"True"	"2021-04-17T10:10:08"	"Raffle"	"Captain Ab"	"False"	""	"3"	"3"	"0"	"00:01:01"	"0,3333333333333333"
"3"	"SuperchargeMinePower"	"Raffle"	"2021-04-17T11:15:08"	"True"	"True"	"2021-04-17T11:16:08"	"Raffle"	"Kratt"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"7"	"SuperChargeArmyCampPower"	"Waffle"	"2021-04-17T11:30:08"	"True"	"True"	"2021-04-17T11:31:09"	"Raffle"	"krinid"	"False"	""	"6"	"6"	"0"	"00:01:01"	"0,16666666666666666"
"5"	"FreeCachePower"	"Raffle"	"2021-04-17T12:49:09"	"True"	"True"	"2021-04-17T12:50:09"	"Raffle"	"krinid"	"False"	""	"4"	"3"	"1"	"00:01:00"	"0,3333333333333333"
"3"	"FreeCachePower"	"Raffle"	"2021-04-17T14:33:09"	"True"	"True"	"2021-04-17T14:34:09"	"Raffle"	"faxfox"	"False"	""	"9"	"8"	"1"	"00:01:00"	"0,125"
"6"	"FreeCachePower"	"Raffle"	"2021-04-17T15:18:10"	"True"	"True"	"2021-04-17T15:19:10"	"Raffle"	"krinid"	"False"	""	"7"	"6"	"1"	"00:01:00"	"0,16666666666666666"
"4"	"FogBusterPower"	"Raffle"	"2021-04-17T15:49:10"	"True"	"True"	"2021-04-17T15:50:10"	"Raffle"	"Thorben"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"5"	"MarketRaidPower"	"Raffle"	"2021-04-17T17:13:10"	"True"	"True"	"2021-04-17T17:14:11"	"Raffle"	"Hodop"	"False"	""	"8"	"7"	"1"	"00:01:01"	"0,14285714285714285"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-17T18:00:11"	"True"	"True"	"2021-04-17T18:01:11"	"Raffle"	"JK_3"	"False"	""	"5"	"4"	"1"	"00:01:00"	"0,25"
"5"	"FreeCachePower"	"Raffle"	"2021-04-17T19:18:11"	"True"	"True"	"2021-04-17T19:19:12"	"Raffle"	"stonemende"	"False"	""	"13"	"12"	"1"	"00:01:01"	"0,08333333333333333"
"4"	"TimeWarpPower"	"Raffle"	"2021-04-17T19:43:12"	"True"	"True"	"2021-04-17T19:44:12"	"Raffle"	"JK_3"	"False"	""	"13"	"13"	"0"	"00:01:00"	"0,07692307692307693"
"5"	"None"	"Waffle"	"2021-04-17T19:58:12"	"True"	"True"	"2021-04-17T19:59:12"	"Raffle"	"stonemende"	"False"	""	"13"	"13"	"0"	"00:01:00"	"0,07692307692307693"
"3"	"None"	"Raffle"	"2021-04-17T21:25:13"	"True"	"True"	"2021-04-17T21:26:13"	"Raffle"	"Hero"	"False"	""	"13"	"12"	"1"	"00:01:00"	"0,08333333333333333"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-17T22:08:13"	"True"	"True"	"2021-04-17T22:09:13"	"Raffle"	"faxfox"	"False"	""	"7"	"6"	"1"	"00:01:00"	"0,16666666666666666"
"5"	"FogBusterPower"	"Raffle"	"2021-04-17T23:17:13"	"True"	"True"	"2021-04-17T23:18:14"	"Raffle"	"TrapdoorSp"	"False"	""	"6"	"4"	"2"	"00:01:01"	"0,25"
"7"	"None"	"Raffle"	"2021-04-18T00:12:14"	"True"	"True"	"2021-04-18T00:13:14"	"Raffle"	"krinid"	"False"	""	"8"	"7"	"1"	"00:01:00"	"0,14285714285714285"
"4"	"None"	"Raffle"	"2021-04-18T00:42:14"	"True"	"True"	"2021-04-18T00:45:24"	"Raffle"	"ZombieSlay"	"False"	""	"7"	"7"	"0"	"00:03:10"	"0,14285714285714285"
"5"	"TimeWarpPower"	"Raffle"	"2021-04-18T01:25:24"	"True"	"True"	"2021-04-18T01:26:25"	"Raffle"	"faxfox"	"False"	""	"5"	"5"	"0"	"00:01:01"	"0,2"
"4"	"FreeCachePower"	"Raffle"	"2021-04-18T02:07:25"	"True"	"True"	"2021-04-18T02:08:25"	"Raffle"	"Putt4eagle"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"5"	"InspireMercenariesPower"	"Waffle"	"2021-04-18T02:43:25"	"True"	"True"	"2021-04-18T02:44:25"	"Raffle"	"Splat"	"False"	""	"1"	"1"	"0"	"00:01:00"	"1"
"5"	"TimeWarpPower"	"Raffle"	"2021-04-18T04:20:25"	"True"	"True"	"2021-04-18T04:21:26"	"Raffle"	"Splat"	"False"	""	"3"	"2"	"1"	"00:01:01"	"0,5"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-18T05:57:26"	"True"	"True"	"2021-04-18T05:58:26"	"Waffle"	"ZombieSlay"	"False"	""	"6"	"4"	"2"	"00:01:00"	"0,25"
"62"	"None"	"Raffle"	"2021-04-18T06:29:26"	"True"	"True"	"2021-04-18T06:30:26"	"Raffle"	"Captain Ab"	"False"	""	"3"	"3"	"0"	"00:01:00"	"0,3333333333333333"
"6"	"FreeCachePower"	"Raffle"	"2021-04-18T07:27:27"	"True"	"True"	"2021-04-18T07:28:27"	"Raffle"	"Captain Ab"	"False"	""	"4"	"4"	"0"	"00:01:00"	"0,25"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-18T07:50:27"	"True"	"True"	"2021-04-18T07:51:27"	"Raffle"	"Captain Ab"	"False"	""	"2"	"2"	"0"	"00:01:00"	"0,5"
"5"	"SuperchargeMinePower"	"Raffle"	"2021-04-18T08:58:27"	"True"	"True"	"2021-04-18T08:59:28"	"Raffle"	"alexclusiv"	"False"	""	"8"	"6"	"2"	"00:01:01"	"0,16666666666666666"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-18T09:19:28"	"True"	"True"	"2021-04-18T09:20:28"	"Raffle"	"Leia - Pri"	"False"	""	"6"	"5"	"1"	"00:01:00"	"0,2"
"5"	"FreeCachePower"	"Raffle"	"2021-04-18T09:51:28"	"True"	"True"	"2021-04-18T09:52:28"	"Raffle"	"SkekUng"	"False"	""	"9"	"9"	"0"	"00:01:00"	"0,1111111111111111"
"6"	"FreeCachePower"	"Raffle"	"2021-04-18T11:44:29"	"True"	"True"	"2021-04-18T11:45:29"	"Raffle"	"Xxylox"	"False"	""	"8"	"8"	"0"	"00:01:00"	"0,125"
"6"	"SuperChargeArmyCampPower"	"Raffle"	"2021-04-18T12:07:29"	"True"	"True"	"2021-04-18T12:08:29"	"Raffle"	"Legolas"	"False"	""	"9"	"9"	"0"	"00:01:00"	"0,1111111111111111"
"3"	"PoorArtifact"	"Raffle"	"2021-04-18T12:22:29"	"True"	"True"	"2021-04-18T12:23:30"	"Raffle"	"C4nt3r"	"False"	""	"10"	"10"	"0"	"00:01:01"	"0,1"
"4"	"None"	"Raffle"	"2021-04-18T12:49:30"	"True"	"True"	"2021-04-18T12:50:30"	"Raffle"	"Captain Ab"	"False"	""	"10"	"9"	"1"	"00:01:00"	"0,1111111111111111"
"3"	"None"	"Raffle"	"2021-04-18T13:34:30"	"True"	"True"	"2021-04-18T13:35:30"	"Raffle"	"Alexander "	"False"	""	"11"	"11"	"0"	"00:01:00"	"0,09090909090909091"
"7"	"SuperchargeMinePower"	"Raffle"	"2021-04-18T15:20:30"	"True"	"True"	"2021-04-18T15:21:31"	"Raffle"	"fndtn"	"False"	""	"7"	"7"	"0"	"00:01:01"	"0,14285714285714285"
"7"	"FreeCachePower"	"Raffle"	"2021-04-18T17:16:31"	"True"	"True"	"2021-04-18T17:17:32"	"Raffle"	"KaelF"	"False"	""	"13"	"12"	"1"	"00:01:01"	"0,08333333333333333"
"4"	"SuperchargeMinePower"	"Raffle"	"2021-04-18T18:02:32"	"True"	"True"	"2021-04-18T18:03:32"	"Raffle"	"Darkness W"	"False"	""	"12"	"10"	"2"	"00:01:00"	"0,1"
"5"	"SuperchargeMinePower"	"Waffle"	"2021-04-18T19:49:32"	"True"	"True"	"2021-04-18T19:50:33"	"Raffle"	"The Termin"	"False"	""	"7"	"7"	"0"	"00:01:01"	"0,14285714285714285"
